id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
792322179365209191,Villa in Mount Pleasant · 8 bedrooms · 10 beds · 5.5 baths,488554818,Ronald,,Mount Pleasant,-34.74345,139.11456,Entire home/apt,999,2,2,2023-05-31,0.74,11,72,2,,Barossa Valley
792356113015735467,Villa in Mount Pleasant · 5 bedrooms · 1 bed · 2.5 baths,488554818,Ronald,,Mount Pleasant,-34.74357,139.11264,Entire home/apt,583,1,0,,,11,167,0,,Barossa Valley
792371126158972761,Villa in Mount Pleasant · 3 bedrooms · 5 beds · 3 baths,488554818,Ronald,,Mount Pleasant,-34.74159,139.114,Entire home/apt,600,1,0,,,11,167,0,,Barossa Valley
792372489987708648,Guesthouse in Gawler River · ★4.74 · 2 bedrooms · 2 beds · 1 bath,493274930,Yvonne,,Gawler River,-34.62867,138.6437,Entire home/apt,165,1,23,2023-06-23,4.29,1,357,23,,Barossa Valley
794335948088291886,Guesthouse in Kapunda · ★5.0 · 2 bedrooms · 3 beds · 1 bath,493655266,Michelle,,Kapunda,-34.3602,138.8907,Entire home/apt,200,2,8,2023-06-12,3.04,1,312,8,,Barossa Valley
798143975652518850,Tiny home in Cromer Barossa · ★5.0 · 1 bedroom · 1 bed · 1 bath,85597526,Tracy,,Mount Crawford,-34.771432,138.977761,Entire home/apt,250,1,29,2023-06-25,5.72,2,354,29,,Barossa Valley
803889383750048082,Home in Lyndoch · ★5.0 · 4 bedrooms · 5 beds · 2 baths,495954773,Filomena,,Lyndoch,-34.6064501,138.8820816,Entire home/apt,313,2,3,2023-06-12,0.69,1,352,3,,Barossa Valley
804036658904390423,Home in Tanunda · 5 bedrooms · 6 beds · 2 baths,206127681,Megan,,Tanunda,-34.51218,138.97548,Entire home/apt,980,2,2,2023-06-25,0.94,1,268,2,,Barossa Valley
812465538310166564,Bed and breakfast in Kapunda · ★5.0 · 1 bedroom · 2 beds · 1 private bath,86727693,Susan,,Kapunda,-34.33822,138.91862,Private room,250,1,4,2023-05-28,1.00,3,348,4,,Barossa Valley
815514103907302166,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48908,138.92294,Entire home/apt,330,1,2,2023-04-10,0.73,8,349,2,,Barossa Valley
815516113841270903,Tent in Seppeltsfield · ★3.75 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48736,138.92421,Entire home/apt,330,1,4,2023-05-24,1.71,8,347,4,,Barossa Valley
815520308911596745,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48777,138.92504,Entire home/apt,330,1,2,2023-05-13,0.75,8,346,2,,Barossa Valley
815521436422254325,Tent in Seppeltsfield · ★4.33 · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48924,138.92363,Entire home/apt,330,1,3,2023-06-04,1.36,8,333,3,,Barossa Valley
815522605349287142,Tent in Seppeltsfield · 1 bedroom · 1 bed · 1 bath,497989134,Cabn,,Marananga,-34.48937,138.92421,Entire home/apt,330,1,0,,,8,347,0,,Barossa Valley
818346280706439704,Home in Lyndoch · 12 bedrooms · 12 beds · 11 baths,499283772,Andrew,,Lyndoch,-34.57512,138.86588,Entire home/apt,2500,2,0,,,1,251,0,,Barossa Valley
821437484393218459,Bed and breakfast in Kapunda · 2 bedrooms · 3 beds · 2 baths,86727693,Susan,,Kapunda,-34.3381,138.92034,Private room,450,1,0,,,3,336,0,,Barossa Valley
