id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,Location
49805809,Rental unit in Elwood · ★4.78 · 1 bedroom · 1 bed · 1 bath,130815720,Laura,,Port Phillip,-37.87923,144.98842,Entire home/apt,120,2,9,2023-05-22,0.73,1,289,8,,Melbourne
49805826,Guesthouse in Olinda · ★New · Studio · 1 bed · 1 bath,324730015,Pete,,Yarra Ranges,-37.86514,145.36515,Entire home/apt,351,2,0,,,1,362,0,,Melbourne
49815618,Rental unit in Carlton North · ★4.94 · 2 bedrooms · 2 beds · 2 baths,384744912,Rod,,Yarra,-37.78762,144.97257,Entire home/apt,320,3,16,2023-03-21,0.90,3,134,9,,Melbourne
49820090,Rental unit in Melbourne · ★4.76 · 1 bedroom · 2 beds · 1 bath,162316655,Harriet,,Melbourne,-37.81402,144.95349,Entire home/apt,127,1,25,2023-05-20,1.05,27,142,21,,Melbourne
49820299,Rental unit in South Melbourne · ★5.0 · 1 bedroom · 1 bath,18005306,Henry,,Port Phillip,-37.83276,144.96744,Entire home/apt,80,100,4,2021-07-10,0.17,1,90,0,,Melbourne
50118039,Farm stay in Emerald · ★4.69 · 5 bedrooms · 1 bed · 2 baths,404262173,Brent,,Cardinia,-37.93861,145.46445,Entire home/apt,560,2,13,2022-04-25,0.56,1,365,0,,Melbourne
50119880,Condo in Balaclava · ★4.93 · 2 bedrooms · 4 beds · 1 bath,381287515,Samuel,,Port Phillip,-37.86704,144.9895,Entire home/apt,114,3,141,2023-03-05,5.88,2,110,64,,Melbourne
49839307,Guest suite in Belgrave Heights · ★4.84 · 1 bedroom · 1 bed · 1 bath,117061704,Millie,,Yarra Ranges,-37.92536,145.35153,Entire home/apt,190,2,31,2023-05-29,1.32,1,330,13,,Melbourne
49840085,Rental unit in Hawthorn East · ★4.80 · 1 bedroom · 1 bed · 1 bath,14608495,David,,Boroondara,-37.82491,145.04962,Entire home/apt,111,14,5,2023-05-26,0.44,1,264,5,,Melbourne
49840477,Tiny home in Yarra Junction · ★4.88 · 1 bedroom · 1 bed · 1 bath,154813436,Tiny Away,,Yarra Ranges,-37.77754,145.62978,Entire home/apt,231,1,34,2023-05-21,1.45,7,354,12,,Melbourne
49840914,Serviced apartment in Southbank · ★5.0 · 1 bedroom · 1 bed · 2 baths,34875497,Emanuele,,Melbourne,-37.82359,144.96498,Entire home/apt,150,30,3,2022-02-11,0.13,1,0,0,,Melbourne
50125905,Home in Bentleigh · 2 bedrooms · 1 bed · 1 shared bath,389877090,Melissa,,Glen Eira,-37.92839,145.0339,Private room,60,2,0,,,1,0,0,,Melbourne
50126394,Home in Mill Park · ★4.90 · 3 bedrooms · 3 beds · 2 shared baths,37946906,Jackie,,Whittlesea,-37.67046356201172,145.0478515625,Private room,45,3,10,2023-03-29,0.42,1,154,5,,Melbourne
